herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s,iteraciones,inercia_wcss
Extensión PostgreSQL,100000,2,3,0.806369,0.336876,4.002957,4.809325,4,236.2612
Extensión PostgreSQL,100000,3,3,0.806369,0.063847,0.068869,0.875238,5,189.2993
Extensión PostgreSQL,100000,4,3,0.806369,0.070401,0.075569,0.881938,8,143.6501
Extensión PostgreSQL,100000,5,3,0.806369,0.080521,0.085465,0.891834,10,100.2373
Extensión PostgreSQL,100000,6,3,0.806369,0.084254,0.089313,0.895682,8,77.7021
Extensión PostgreSQL,100000,7,3,0.806369,0.095446,0.100607,0.906976,9,70.5412
Extensión PostgreSQL,100000,8,3,0.806369,0.095226,0.098356,0.904724,6,57.6929
Extensión PostgreSQL,100000,9,3,0.806369,0.105752,0.110808,0.917177,8,50.4411
Extensión PostgreSQL,100000,10,3,0.806369,0.128976,0.134278,0.940647,11,43.4388
Extensión PostgreSQL,100000,2,5,0.471624,0.055178,0.059626,0.531249,2,5293.4231
Extensión PostgreSQL,100000,3,5,0.471624,0.065841,0.070874,0.542498,6,3247.3242
Extensión PostgreSQL,100000,4,5,0.471624,0.06797,0.072807,0.54443,5,1484.2451
Extensión PostgreSQL,100000,5,5,0.471624,0.070939,0.076963,0.548586,4,257.9447
Extensión PostgreSQL,100000,6,5,0.471624,0.069227,0.073906,0.54553,7,218.6049
Extensión PostgreSQL,100000,7,5,0.471624,0.095574,0.101793,0.573417,6,176.1374
Extensión PostgreSQL,100000,8,5,0.471624,0.111519,0.11668,0.588303,3,155.0173
Extensión PostgreSQL,100000,9,5,0.471624,0.130183,0.135695,0.607319,4,130.2663
Extensión PostgreSQL,100000,10,5,0.471624,0.132599,0.137669,0.609293,4,99.311
Extensión PostgreSQL,100000,2,7,0.612648,0.05626,0.059532,0.67218,3,20635.0204
Extensión PostgreSQL,100000,3,7,0.612648,0.068276,0.073626,0.686275,3,5028.2571
Extensión PostgreSQL,100000,4,7,0.612648,0.079523,0.084809,0.697457,3,3499.8359
Extensión PostgreSQL,100000,5,7,0.612648,0.089192,0.095427,0.708075,3,888.1523
Extensión PostgreSQL,100000,6,7,0.612648,0.085278,0.090588,0.703236,2,368.858
Extensión PostgreSQL,100000,7,7,0.612648,0.102195,0.107489,0.720137,2,281.3829
Extensión PostgreSQL,100000,8,7,0.612648,0.144764,0.149583,0.762232,11,231.469
Extensión PostgreSQL,100000,9,7,0.612648,0.154364,0.157831,0.770479,11,187.3732
Extensión PostgreSQL,100000,10,7,0.612648,0.141221,0.146463,0.759112,11,180.4474
Extensión PostgreSQL,100000,2,9,0.834227,0.062373,0.067562,0.901789,2,28425.9281
Extensión PostgreSQL,100000,3,9,0.834227,0.086771,0.091226,0.925454,10,19852.3562
Extensión PostgreSQL,100000,4,9,0.834227,0.083303,0.088574,0.922801,3,12542.4317
Extensión PostgreSQL,100000,5,9,0.834227,0.085022,0.090163,0.92439,3,11193.9528
Extensión PostgreSQL,100000,6,9,0.834227,0.100323,0.105409,0.939636,3,8031.8435
Extensión PostgreSQL,100000,7,9,0.834227,0.123747,0.128937,0.963165,8,5205.1723
Extensión PostgreSQL,100000,8,9,0.834227,0.131574,0.137412,0.971639,5,3308.765
Extensión PostgreSQL,100000,9,9,0.834227,0.136837,0.142275,0.976503,3,2368.5489
Extensión PostgreSQL,100000,10,9,0.834227,0.144084,0.148949,0.983177,3,1945.6403
Extensión PostgreSQL,100000,2,11,0.873416,0.073364,0.079018,0.952434,3,36742.5739
Extensión PostgreSQL,100000,3,11,0.873416,0.074898,0.079778,0.953194,3,28912.3801
Extensión PostgreSQL,100000,4,11,0.873416,0.058422,0.063037,0.936453,4,23545.204
Extensión PostgreSQL,100000,5,11,0.873416,0.09963,0.105355,0.97877,4,20812.8157
Extensión PostgreSQL,100000,6,11,0.873416,0.120427,0.125868,0.999284,5,20540.1866
Extensión PostgreSQL,100000,7,11,0.873416,0.11512,0.120424,0.99384,6,18444.6464
Extensión PostgreSQL,100000,8,11,0.873416,0.139192,0.144333,1.017748,5,14709.9443
Extensión PostgreSQL,100000,9,11,0.873416,0.142248,0.147592,1.021008,5,12285.4508
Extensión PostgreSQL,100000,10,11,0.873416,0.155919,0.161241,1.034657,6,9746.6344
