herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s
Weka,100000,2,3,26.583451,0.490963,0.490963,27.074414
Weka,100000,3,3,26.583451,0.583184,0.583184,27.166635
Weka,100000,4,3,26.583451,0.537418,0.537418,27.120868
Weka,100000,5,3,26.583451,0.66947,0.66947,27.252921
Weka,100000,6,3,26.583451,0.732558,0.732558,27.316009
Weka,100000,7,3,26.583451,0.755226,0.755226,27.338676
Weka,100000,8,3,26.583451,0.946508,0.946508,27.529959
Weka,100000,9,3,26.583451,0.992217,0.992217,27.575667
Weka,100000,10,3,26.583451,1.468756,1.468756,28.052207
Weka,100000,2,5,26.560117,0.532875,0.532875,27.092991
Weka,100000,3,5,26.560117,0.556823,0.556823,27.116939
Weka,100000,4,5,26.560117,0.586763,0.586763,27.146879
Weka,100000,5,5,26.560117,0.604515,0.604515,27.164632
Weka,100000,6,5,26.560117,0.575215,0.575215,27.135331
Weka,100000,7,5,26.560117,0.612019,0.612019,27.172136
Weka,100000,8,5,26.560117,1.317585,1.317585,27.877702
Weka,100000,9,5,26.560117,1.299819,1.299819,27.859936
Weka,100000,10,5,26.560117,1.067195,1.067195,27.627312
Weka,100000,2,7,26.63432,0.605319,0.605319,27.239639
Weka,100000,3,7,26.63432,0.620324,0.620324,27.254644
Weka,100000,4,7,26.63432,0.673765,0.673765,27.308085
Weka,100000,5,7,26.63432,0.694105,0.694105,27.328425
Weka,100000,6,7,26.63432,1.193841,1.193841,27.828161
Weka,100000,7,7,26.63432,1.278946,1.278946,27.913265
Weka,100000,8,7,26.63432,1.347674,1.347674,27.981994
Weka,100000,9,7,26.63432,1.388687,1.388687,28.023007
Weka,100000,10,7,26.63432,1.415157,1.415157,28.049477
Weka,100000,2,9,26.95154,0.656669,0.656669,27.608209
Weka,100000,3,9,26.95154,0.701744,0.701744,27.653285
Weka,100000,4,9,26.95154,0.779831,0.779831,27.731371
Weka,100000,5,9,26.95154,0.772049,0.772049,27.723589
Weka,100000,6,9,26.95154,0.794592,0.794592,27.746133
Weka,100000,7,9,26.95154,0.835334,0.835334,27.786875
Weka,100000,8,9,26.95154,0.946353,0.946353,27.897893
Weka,100000,9,9,26.95154,0.96197,0.96197,27.91351
Weka,100000,10,9,26.95154,0.983581,0.983581,27.935121
Weka,100000,2,11,26.930636,0.780841,0.780841,27.711478
Weka,100000,3,11,26.930636,0.879354,0.879354,27.80999
Weka,100000,4,11,26.930636,0.970573,0.970573,27.90121
Weka,100000,5,11,26.930636,0.939335,0.939335,27.869972
Weka,100000,6,11,26.930636,0.906431,0.906431,27.837067
Weka,100000,7,11,26.930636,0.951439,0.951439,27.882075
Weka,100000,8,11,26.930636,1.030932,1.030932,27.961569
Weka,100000,9,11,26.930636,1.012065,1.012065,27.942701
Weka,100000,10,11,26.930636,1.037286,1.037286,27.967922
