herramienta,registros,num_grupos,num_atributos,tiempo_carga_s,tiempo_kmeans_s,tiempo_total_s,tiempo_respuesta_s,iteraciones,inercia_wcss
Python sklearn,1000,2,11,2.17954,0.050119,0.050786,2.229659,3,419.9172
Python sklearn,1000,3,11,2.17954,0.00814,0.008807,2.18768,9,362.0942
Python sklearn,1000,4,11,2.17954,0.008924,0.009591,2.188464,9,270.4894
Python sklearn,1000,5,11,2.17954,0.007956,0.008623,2.187496,8,246.2704
Python sklearn,1000,6,11,2.17954,0.008047,0.008715,2.187587,6,208.7946
Python sklearn,1000,7,11,2.17954,0.008483,0.00915,2.188023,10,217.875
Python sklearn,1000,8,11,2.17954,0.008993,0.00966,2.188533,10,196.3344
Python sklearn,1000,9,11,2.17954,0.00829,0.008958,2.18783,8,146.1853
Python sklearn,1000,10,11,2.17954,0.007538,0.008205,2.187078,8,135.6678
Python sklearn,2000,2,11,2.004043,0.010737,0.01119,2.014781,5,846.4738
Python sklearn,2000,3,11,2.004043,0.010124,0.010576,2.014167,5,735.5284
Python sklearn,2000,4,11,2.004043,0.010766,0.011219,2.01481,6,675.8669
Python sklearn,2000,5,11,2.004043,0.008598,0.00905,2.012641,5,604.5748
Python sklearn,2000,6,11,2.004043,0.010132,0.010584,2.014175,6,429.776
Python sklearn,2000,7,11,2.004043,0.010591,0.011044,2.014635,5,421.6491
Python sklearn,2000,8,11,2.004043,0.013639,0.014092,2.017682,8,379.9113
Python sklearn,2000,9,11,2.004043,0.012741,0.013193,2.016784,11,360.3774
Python sklearn,2000,10,11,2.004043,0.011815,0.012268,2.015858,13,300.5732
Python sklearn,5000,2,11,2.099783,0.011556,0.012466,2.111339,3,2047.5106
Python sklearn,5000,3,11,2.099783,0.015297,0.016208,2.115081,4,1768.4304
Python sklearn,5000,4,11,2.099783,0.017254,0.018164,2.117037,8,1724.8668
Python sklearn,5000,5,11,2.099783,0.021171,0.022081,2.120954,8,1538.3934
Python sklearn,5000,6,11,2.099783,0.019319,0.02023,2.119102,19,1396.0123
Python sklearn,5000,7,11,2.099783,0.017796,0.018706,2.117579,15,1019.7467
Python sklearn,5000,8,11,2.099783,0.019811,0.020721,2.119594,20,999.8726
Python sklearn,5000,9,11,2.099783,0.019135,0.020045,2.118918,18,870.8103
Python sklearn,5000,10,11,2.099783,0.020504,0.021414,2.120287,30,756.9468
Python sklearn,10000,2,11,2.222364,0.006792,0.00786,2.229156,5,3981.7109
Python sklearn,10000,3,11,2.222364,0.011363,0.012431,2.233727,7,3146.3253
Python sklearn,10000,4,11,2.222364,0.016883,0.017951,2.239247,10,2639.2728
Python sklearn,10000,5,11,2.222364,0.009547,0.010615,2.231911,5,2216.1116
Python sklearn,10000,6,11,2.222364,0.018929,0.019997,2.241293,9,2005.6409
Python sklearn,10000,7,11,2.222364,0.013903,0.014971,2.236267,9,1875.7701
Python sklearn,10000,8,11,2.222364,0.012054,0.013122,2.234418,9,1657.0928
Python sklearn,10000,9,11,2.222364,0.025776,0.026844,2.24814,31,1624.7824
Python sklearn,10000,10,11,2.222364,0.015912,0.01698,2.238276,24,1579.9161
Python sklearn,21000,2,11,24.491576,0.007161,0.010189,24.498737,3,7911.5428
Python sklearn,21000,3,11,24.491576,0.007838,0.010866,24.499414,3,6198.8109
Python sklearn,21000,4,11,24.491576,0.015246,0.018273,24.506822,7,5048.9494
Python sklearn,21000,5,11,24.491576,0.011135,0.014162,24.502711,3,4258.6168
Python sklearn,21000,6,11,24.491576,0.011854,0.014882,24.50343,3,3711.1843
Python sklearn,21000,7,11,24.491576,0.01129,0.014318,24.502866,3,3386.2144
Python sklearn,21000,8,11,24.491576,0.009551,0.012579,24.501127,5,2919.2985
Python sklearn,21000,9,11,24.491576,0.01317,0.016198,24.504746,6,2486.807
Python sklearn,21000,10,11,24.491576,0.011758,0.014786,24.503334,6,2243.6173
Python sklearn,50000,2,11,23.776644,0.027015,0.038802,23.803659,3,22719.5379
Python sklearn,50000,3,11,23.776644,0.015334,0.027121,23.791978,3,14766.5329
Python sklearn,50000,4,11,23.776644,0.016272,0.028059,23.792916,3,13693.2793
Python sklearn,50000,5,11,23.776644,0.017091,0.028878,23.793735,5,10976.4722
Python sklearn,50000,6,11,23.776644,0.019956,0.031743,23.7966,5,9837.4746
Python sklearn,50000,7,11,23.776644,0.018313,0.0301,23.794957,5,8030.8895
Python sklearn,50000,8,11,23.776644,0.019286,0.031072,23.795929,7,6721.0525
Python sklearn,50000,9,11,23.776644,0.020407,0.032194,23.797051,7,6505.4001
Python sklearn,50000,10,11,23.776644,0.021285,0.033072,23.797929,7,5908.8035
Python sklearn,100000,2,11,22.800021,0.025875,0.034123,22.825895,2,37612.1001
Python sklearn,100000,3,11,22.800021,0.033297,0.041545,22.833318,4,34326.2336
Python sklearn,100000,4,11,22.800021,0.034063,0.042311,22.834084,4,29343.413
Python sklearn,100000,5,11,22.800021,0.030645,0.038893,22.830666,4,22356.4923
Python sklearn,100000,6,11,22.800021,0.029539,0.037787,22.829559,5,18149.8017
Python sklearn,100000,7,11,22.800021,0.031121,0.039369,22.831142,5,15755.2737
Python sklearn,100000,8,11,22.800021,0.034127,0.042375,22.834148,7,15486.4823
Python sklearn,100000,9,11,22.800021,0.03316,0.041408,22.833181,8,12873.5652
Python sklearn,100000,10,11,22.800021,0.033798,0.042046,22.833819,8,12514.0957
Python sklearn,500000,2,11,26.401626,0.142241,0.195708,26.543867,5,224716.1725
Python sklearn,500000,3,11,26.401626,0.136717,0.190184,26.538343,3,145528.9166
Python sklearn,500000,4,11,26.401626,0.146226,0.199694,26.547852,5,135037.9259
Python sklearn,500000,5,11,26.401626,0.149802,0.20327,26.551428,6,108258.6226
Python sklearn,500000,6,11,26.401626,0.146028,0.199496,26.547654,5,94739.4219
Python sklearn,500000,7,11,26.401626,0.155837,0.209305,26.557463,6,93278.1294
Python sklearn,500000,8,11,26.401626,0.174308,0.227775,26.575934,7,79626.1137
Python sklearn,500000,9,11,26.401626,0.171764,0.225231,26.57339,6,66763.8374
Python sklearn,500000,10,11,26.401626,0.164112,0.21758,26.565738,7,49709.3924
Python sklearn,1000000,2,11,30.689964,0.460317,0.657082,31.150281,5,368652.0907
Python sklearn,1000000,3,11,30.689964,0.393587,0.590353,31.083551,6,289763.1888
Python sklearn,1000000,4,11,30.689964,0.530085,0.72685,31.220049,8,268649.8062
Python sklearn,1000000,5,11,30.689964,0.412126,0.608892,31.10209,8,263989.1186
Python sklearn,1000000,6,11,30.689964,0.475366,0.672131,31.16533,9,210477.1185
Python sklearn,1000000,7,11,30.689964,0.516513,0.713278,31.206477,9,172741.2131
Python sklearn,1000000,8,11,30.689964,0.56008,0.756845,31.250043,13,163630.8505
Python sklearn,1000000,9,11,30.689964,0.527504,0.724269,31.217467,9,141168.1231
Python sklearn,1000000,10,11,30.689964,0.584108,0.780874,31.274072,15,126496.5399
