Atributos,Extensión PL/Python (s),Weka (s),Python sklearn (s)
3,7.4251,2.8118,0.4417
5,2.9407,2.1386,0.4449
7,5.3359,7.8397,0.4469
9,6.7799,10.9604,0.457
11,6.0645,10.4388,0.4645
